"id","title","provider","opportunity_type","deadline","deadline_parsed","days_to_deadline","geography","source_language","summary","status","source_url","target_group"
"MOC-0072","11th International Disaster Law Course","ReliefWeb / source-listed training provider","training/course","2026-07-31","2026-07-31","2026-07-31","Global","English","11th International Disaster Law Course | ReliefWeb Skip to main content Help Log in ReliefWeb Content Search What are you looking for? Search|t Updates Countries Disasters Organizations Topics Jobs Training Informing humanitarians worldwide 24/7 — a service provided by UN OCHA 11th International Disaster Law Course Organization IIHL Posted 28 May 2026 Traini","Open","https://reliefweb.int/training/4213791/11th-international-disaster-law-course",""
"MOC-0073","International Refugee Assistance Project - Intake and Screening Intern","Refugee Rights","job","Rolling / open until filled","Rolling / open until filled","Rolling / open until filled","Global","English_or_multilingual_unknown","Refugee Rights is recruiting for this role (International Refugee Assistance Project - Intake and Screening Intern) with location listed as This position is based in IRAP Jordan office in Amman, Jordan. IRAP is an equal-opportunity employer The opportunity is treated as Rolling / open until filled under the live Lever job policy Application/source link: https://jobs.eu.lever.co/refugeerights/493bf855-2930-4c7f-be63-c507ab6088a4","","https://jobs.eu.lever.co/refugeerights/493bf855-2930-4c7f-be63-c507ab6088a4",""
"MOC-0074","International Refugee Assistance Project - IRAP Law Student Fellowship 2026-2027","Refugee Rights","job","Rolling / open until filled","Rolling / open until filled","Rolling / open until filled","Global","English_or_multilingual_unknown","Refugee Rights is recruiting for this role (International Refugee Assistance Project - IRAP Law Student Fellowship 2026-2027) The opportunity is treated as Rolling / open until filled under the live Lever job policy Application/source link: https://jobs.eu.lever.co/refugeerights/43ee3a68-486c-4752-be78-946feea7eda7","","https://jobs.eu.lever.co/refugeerights/43ee3a68-486c-4752-be78-946feea7eda7",""
"MOC-0075","International Refugee Assistance Project - Legal Fellow","Refugee Rights","job","Rolling / open until filled","Rolling / open until filled","Rolling / open until filled","Global","English_or_multilingual_unknown","Refugee Rights is recruiting for this role (International Refugee Assistance Project - Legal Fellow) with location listed as The fellow will be hosted in IRAP The opportunity is treated as Rolling / open until filled under the live Lever job policy Application/source link: https://jobs.eu.lever.co/refugeerights/3dccdd1f-71db-49a6-bebf-9172c23cba04","","https://jobs.eu.lever.co/refugeerights/3dccdd1f-71db-49a6-bebf-9172c23cba04",""
"MOC-0076","International Refugee Assistance Project - Operations (HR, Finance, Admin) Intern - Unpaid","Refugee Rights","job","Rolling / open until filled","Rolling / open until filled","Rolling / open until filled","Global","English_or_multilingual_unknown","Refugee Rights is recruiting for this role (International Refugee Assistance Project - Operations (HR, Finance, Admin) Intern - Unpaid) The opportunity is treated as Rolling / open until filled under the live Lever job policy Application/source link: https://jobs.eu.lever.co/refugeerights/c51253a7-7b6d-48ed-99f6-873f0a7f6e68","","https://jobs.eu.lever.co/refugeerights/c51253a7-7b6d-48ed-99f6-873f0a7f6e68",""
"MOC-0077","International Refugee Assistance Project - U.S. Litigation Staff Attorney/ Senior Staff Attorney","Refugee Rights","job","Rolling / open until filled","Rolling / open until filled","Rolling / open until filled","Global","English_or_multilingual_unknown","Refugee Rights is recruiting for this role (International Refugee Assistance Project - U.S. Litigation Staff Attorney/ Senior Staff Attorney) The opportunity is treated as Rolling / open until filled under the live Lever job policy Application/source link: https://jobs.eu.lever.co/refugeerights/ca934353-b0f3-4be3-873d-b5f02ee7f0d7","","https://jobs.eu.lever.co/refugeerights/ca934353-b0f3-4be3-873d-b5f02ee7f0d7",""
"MOC-0094","Executive Vice President (EVP) - Programs and Strategy","International Refugee Assistance Project Careers","job","","","","Global","en","Senior leadership role at the International Refugee Assistance Project / Refugee Rights. Evidence review identified this as a specific, non-duplicate migration-rights job opportunity. Location extracted as Remote. Human approval is required before append.","active_or_rolling_review_needed","https://jobs.eu.lever.co/refugeerights/bfb75247-30e9-495b-9c09-49edee8c6620",""
"MOC-0095","A B Charitable Trust — Open Programme, Migrants and Refugees","A B Charitable Trust","Funding / grants / calls","Rolling / no fixed deadline identified","2026-07-31","","Europe","en","The A B Charitable Trust, an independent grant-making organisation About us Our priorities How we fund Grantholders Apply What's New How to apply This section explains how to make an application to our Open Programme (other fundingg programmes are by invitation). Open Programme grants are usually between £10,000 to £40,000 per year and are awarded from one to three years.","active","https://abcharitabletrust.org.uk/apply",""
"MOC-0096","CERV-2026-CHAR-LITI-CHARTER — Raising awareness and building capacity for the EU Charter of Fundamental Rights","European Commission / EACEA — CERV","Funding / grants / calls","","2026-09-15","","Europe","en","European Commission / EACEA — CERV — CERV-2026-CHAR-LITI-CHARTER — Raising awareness and building capacity for the EU Charter of Fundamental Rights","active","https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/cerv/wp-call/2026/call-fiche_cerv-2026-char-liti_en.pdf",""
"MOC-0097","Creative Industries Fund NL — Open Call Fresh Perspectives 2026","Creative Industries Fund NL","Funding / grants / calls","1 December 2026","2026-08-25","","Global","en","Stimuleringsfonds Jump to main content Jump to footer Creative industries fund nl Grants Current Programmes Info Search search Login Open Call Fresh Perspectives grants open call fresh perspectives 2026 For cross-sector collaboration projects that offer new perspectives on current challenges around for example climate, housing, polarisation, migration or inequality of opportunity. 25 Aug, 16:00 CEST closing date Explanation grant period € 10,000 phase 1 Explanation explanatio...","active","https://www.stimuleringsfonds.nl/en/grants/open-call-fresh-perspectives-2026",""
"MOC-0098","EEA Civil Society Fund Poland — First Call for Thematic Projects","EEA Civil Society Fund Poland","Funding / grants / calls","29/07/2026","2026-07-29","","Europe","en","The purpose of the first call for thematic projects is to support the activities of civil society organisations in two areas: Outcome 1. Human rights strengthened The Guidelines for Applicants and Project Promoters contain detailed descriptions of the support areas, outputs, examples of supported activities and indicators.","active","https://eeagrants.org/en/eea-civil-society-fund-poland/calls/first-call-thematic-projects",""
"MOC-0099","EU Delegation to Montenegro — Civil Society Engagement in Public Policy and EU Integration","European Union Delegation to Montenegro / EEAS","other","Rolling / no fixed deadline identified","2026-07-28","","Global","en","The specific objective(s) of this call for proposals is: To strengthen the contribution of civil society organisations (CSOs) to public policy processes, including those related to the EU integration process, by promoting inclusive and gender-sensitive participation, enhancing cooperation and partnerships with public institutions, and reinforcing CSO capacity, sustainability and resilience. Financial allocation provided by the contracting authority The overall indicative amou...","active","https://www.eeas.europa.eu/delegations/montenegro/civil-society-engagement-public-policy-local-development-and-eu-integration-process-call-now-open_en?s=225",""
"MOC-0100","European Commission AMIF — Integration at Local Level","European Commission DG HOME / AMIF","Funding / grants / calls","21 May 2026","2026-10-02","","Global","en","This includes: the EU asylum system, legal migration, irregular migration and return, migration management in the Member States, migrant integration and statistics on migration to Europe. Border crossing Short-stay calculator See all Eurosur Effective management of external borders Interoperability Schengen Information System Access rights and data protection Alerts and data in SIS Questions and answers SIRENE cooperation Schengen Information System (SIS) success stories What...","active","https://home-affairs.ec.europa.eu/news/integration-local-level-eur-77-million-under-amif-specific-action-2026-05-21_en",""
"MOC-0101","European Commission AMIF — Protecting Third-Country Workers' Rights","European Commission DG HOME / AMIF","Funding / grants / calls","13 May 2026","2026-08-28","","Global","en","This includes: the EU asylum system, legal migration, irregular migration and return, migration management in the Member States, migrant integration and statistics on migration to Europe. Border crossing Short-stay calculator See all Eurosur Effective management of external borders Interoperability Schengen Information System Access rights and data protection Alerts and data in SIS Questions and answers SIRENE cooperation Schengen Information System (SIS) success stories What...","active","https://home-affairs.ec.europa.eu/news/commission-announces-measures-better-protect-migrant-workers-and-fight-illegal-employment-2026-05-13_en",""
"MOC-0102","European Commission ESF+ — Posting of Workers: Administrative Cooperation and Access to Information","European Commission / ESF+ EaSI","Funding / grants / calls","","2026-10-06","","Europe","en","European Commission / ESF+ EaSI — European Commission ESF+ — Posting of Workers: Administrative Cooperation and Access to Information","active","https://ec.europa.eu/info/funding-tenders/opportunities/docs/2021-2027/esf/wp-call/2026/call-fiche_esf-2026-pow_en.pdf",""
"MOC-0103","Oxford Refugee Studies Centre — Visiting Fellowship Trinity Term 2027","Refugee Studies Centre, University of Oxford","Academic / research","11 September 2026","2026-09-11","","Europe","en","Apply — Refugee Studies Centre Cookies on this website We use cookies to ensure that we give you the best experience on our website. Accept all cookies Reject all non-essential cookies Find out more Accessibility Cookies Connect with us Contact us Log in About us People research Publications Impact & engagement Study With Us Events news Podcasts and videos Blog Search Study With Us Visiting Fellowships Apply Apply Applications for Trinity term, 25 April-19 June, 2027 are now...","active","https://www.rsc.ox.ac.uk/study/visiting-fellowships/apply-1",""
"MOC-0104","Senior Policy Officer - Passenger","EuroBrussels","Jobs / internships","06 October 2026","","","Europe","en","Save this Job Top Jobs Human Resources Manager - Brussels Funding Officer - Luxembourg Managing Director and Head of Brussels Office - Brussel...","active","https://www.eurobrussels.com/job_display/291925/Senior_Policy_Officer_Passenger_CER_Community_of_European_Railway_and_Infrastructure_Companies_Brussels_Belgium",""
"MOC-0105","Open Call Fresh Perspectives 2026","Creative Industries Fund NL","Funding / grants / calls","","","","Global","en","Creative Industries Fund NL — Open Call Fresh Perspectives 2026","active","https://cms.stimuleringsfonds.nl/storage/media/SCI_Open-Call-Fresh-Perspectives-2026.pdf",""
"MOC-0106","21526 Programme Officer (Immigration and Border Governance) (P2) - Kenya | ReliefWeb","ReliefWeb Jobs — migration protection filtered","Jobs / internships","15 Jul 2026","","","Global","en","21526 Programme Officer (Immigration and Border Governance) (P2) - Kenya | ReliefWeb Skip to main content Help Log in ReliefWeb Content Search What are you looking for? The programme addresses critical technical, operational, and institutional gaps at major international airports while promoting protection-sensitive approaches that safeguard migrant rights and dignity.","active","https://reliefweb.int/job/4219168/21526-programme-officer-immigration-and-border-governance-p2",""
"MOC-0107","21621 Data and Stabilisation Officer (P2) - Central African Republic | ReliefWeb","ReliefWeb Jobs — migration protection filtered","Jobs / internships","16 Jul 2026","","","Global","en","IOM in CAR is expanding its operational scope to meet growing challenges with a comprehensive, multi-sectoral response, including Humanitarian Assistance and Protection: Delivering lifesaving aid (shelter, WASH, health, NFIs) and protection services to IDPs, returnees, refugees, and vulnerable migrants, including GBV prevention, child protection, and anti-trafficking support. Displacement Tracking and Data Management: Deploying the Displacement Tracking Matrix (DTM) to provid...","active","https://reliefweb.int/job/4220731/21621-data-and-stabilisation-officer-p2",""
"MOC-0108","PreQual 22","maiz – autonomes zentrum von & für migrantinnen","Training / pre-qualification course","Wir nehmen laufend Anmeldungen für PreQual an.","","","Scharitzerstraße 6-8, 1. Stock, 4020 Linz, Austria","German","A five-month pre-qualification course for migrant women interested in health and care professions or related training. It provides theory, individual advice, first-aid training, practical exposure, and a participation certificate, aiming to facilitate access to health and care education in Austria.","active_rolling_or_recurring","https://www.maiz.at/de/bereiche/maiz-bildung","Du bist Migrantin* und interessierst dich für eine Ausbildung im Gesundheits- und Pflegebereich oder du hast bereits Erfahrung damit?"
"MOC-0109","Asesoramiento de extranjería","Red Solidaria Barcelona","Immigration advice service","","","","Barcelona, Spain","Spanish","Asesoramiento de extranjería is offered by Red Solidaria Barcelona. Type: Immigration advice service. Geography: Barcelona, Spain. Target group: People seeking immigration advice. Eligibility: Not stated; free, in-person walk-in personalised immigration advice is offered. Deadline: rolling or open-ended.","active","https://fedelatina.org/","People seeking immigration advice"
"MOC-0110","Call for Proposals 2026 - Border Management","Migration Partnership Facility (ICMPD)","Funding or grant","Rolling","","","EU Member States and eligible partner countries","en","Rolling Migration Partnership Facility call for border management projects. Opened 13 July 2026; applications are accepted until funds are depleted. The financial envelope is EUR 5 million from BMVI, and funded actions must end by 30 June 2031.","Open - rolling until funds are depleted","https://www.migrationpartnershipfacility.eu/calls-for-proposals/cfp2026-bm","Migration, asylum, border-management and civil-society stakeholders; verify call-specific eligibility."
"MOC-0111","Call for Proposals 2026 - Internal Security","Migration Partnership Facility (ICMPD)","Funding or grant","Rolling","","","EU Member States and eligible partner countries","en","Rolling Migration Partnership Facility call for internal security projects involving participating EU Member States and eligible partner countries. Opened 13 July 2026; applications are accepted until funds are depleted. The envelope is EUR 3 million from ISF, and funded actions must end by 30 June 2031.","Open - rolling until funds are depleted","https://www.migrationpartnershipfacility.eu/calls-for-proposals/cfp2026-is","Migration, asylum, border-management and civil-society stakeholders; verify call-specific eligibility."
"MOC-0112","Call for Proposals 2026 - Migration Partnerships","Migration Partnership Facility (ICMPD)","Funding or grant","Rolling","","","EU Member States and eligible partner countries","en","Rolling Migration Partnership Facility call supporting migration partnerships between EU Member States and partner countries. Opened 13 July 2026; applications are accepted until funds are depleted. The envelope is EUR 6 million from AMIF, and funded actions must end by 30 June 2031.","Open - rolling until funds are depleted","https://www.migrationpartnershipfacility.eu/calls-for-proposals/cfp2026-mps","Migration, asylum, border-management and civil-society stakeholders; verify call-specific eligibility."
"MOC-0113","Open CAT Call 2027-2029","NetIAS Calls for Applications","Funding / grant","2026-09-13","","","Europe","","Provider: NetIAS Calls for Applications. Type: Funding / grant. Geography: Europe. Status: Open. Open Call for Constructive Advanced Thinking (CAT) Programme 2027 - 2029 Deadline for applications: 13 September 2026, 23:59 CET CAT supports small, interdisciplinary teams of early-career researchers to develop innovat… At the end of the project, CAT teams are expected to submit a final updated report and complete a short questionnaire. In keeping with the policies of the participating institutes, researchers retain the intellectual pr… representatives, or civil society actors where relevant. The programme is designed to support the development of new research directions and collaborations, and may also provide a foundation for future joint projects, i… e extended beyond 10 years after the PhD for any member of the group for certain properly documented circumstances such as maternity and pa…","Open","https://netias.science/sites/default/files/documents/2026-05/open-call-for-constructive-advanced-thinking-2027-2029_0.pdf","At the end of the project, CAT teams are expected to submit a final updated report and complete a short questionnaire. In keeping with the policies of the participating institutes, researchers retain the intellectual property rights to their work. Eligibility criteria • The project must address emergent societal issue…"
"MOC-0114","Find jobs and opportunities","EURAXESS National Portals","Funding / grant","2026-07-18","","","43 European countries","en","Provider: EURAXESS National Portals. Type: Funding / grant. Geography: 43 European countries. Status: Open. n Europe - MSCA Horizon Europe – COFUND Interreg LIFE Programme NextGenerationEU Not funded by a EU programme Other EU programme Funding Type Funding Mobility Incoming Travel Grants Mobility Outgoing Offer Category HR E… Jobs, Career and Funding Opportunities | EURAXESS Skip to main content Log in Search Search EURAXESS Researchers in motion Menu Close Menu Back Home Jobs & Opportunities Find Jobs & Opportunities Living & Working in Eur… Jobs & Opportunities Find Jobs & Opportunities Living & Working in Europe Coming to Europe Living in Europe Working in Europe Retiring in Europe Country information search Leaving Europe Career Development For Researche…","Open","https://euraxess.ec.europa.eu/jobs/search","Not specified in saved evidence"
"MOC-0115","Call for applications - Scientific residency in partnership with the Musée national Picasso-Paris (open) - | Madrid Institute for Advanced Study","madrid-ias.eu","Fellowship","2026-09-10","","","Spain","Spanish","madrid-ias.eu offers this fellowship opportunity connected to Spain. The recorded deadline is 2026-09-10. Call for applications - Scientific residency in partnership with the Musée national Picasso-Paris (open) - | Madrid Institute for Advanced Study ENG FRA ESP Who we are V Presentation Board of directors International Scientific Advisory Board History Partners Activity reports Contact Fellows V Current Fellows Alumni Mentor What's going on? V News Science events Past Science events What we offer V Call for applications Calls for applications from networks Scientific environment Residency Research facilities Projects…","Open","https://www.madrid-ias.eu/news/convocatoria-residencia-cientifica-en-colaboracion-con-el-museo-nacional-picasso-de-paris-abierta",""
"MOC-0116","How do I apply for EU Funds? - FONDI.eu","fondi.eu","Funding / grant","","","","International","English","fondi.eu offers this funding / grant opportunity. The opportunity page is open, but the exact deadline still requires confirmation. FONDI.eu | How do I apply for EU Funds? - FONDI.eu toggle navigation Home Application EU Funds Information Systems Application and User Rights Standard Operating Procedures and Tutorials Frequently Asked Questions Programmes 2021-2027 Programming Period 2014-2022 Rural Development Programme Documentation Guidance for Beneficiaries Circulars 2021-2027 Manual of Procedures Guidance on Indicators Useful Templates Important Documents Committees Evaluations and Assessments Strategic Environmental Assessments Annual Imp…","Open - deadline not resolved","https://fondi.eu/how-to-apply-for-funding/",""
"MOC-0117","Ausschreibungen – HIAS","hias-hamburg.de","Fellowship","","","","International","German","hias-hamburg.de offers this fellowship opportunity. The opportunity page is open, but the exact deadline still requires confirmation. Ausschreibungen – HIAS HIAS de en Login Kontakt Über uns Institution Struktur Mitglieder Förderer Kooperationen Kunst und Forschung Science Diplomacy Ort Fellowship Information Fellows Ausschreibungen Aktuelles News Events Presse Magazin Menü Ausschreibungen / Calls Aktuelle Ausschreibungen: CALAS/HIAS Fellowship Hamburg/Bielefeld 2027 Radikale geopolitische Veränderungen und regionaler Wandel in Lateinamerika Das Maria Sibylla Merian Center for Advanced Latin American Studies (CALAS) und das Hamburg Institute for…","Open - deadline not resolved","https://hias-hamburg.de/fellowship/bewerbung/",""
"MOC-0118","Programa do Fundo para o Asilo, a Migração e a Integração","fami2030.gov.pt","Funding / grant","","","","Portugal","English","fami2030.gov.pt offers this funding / grant opportunity connected to Portugal. The opportunity page is open, but the exact deadline still requires confirmation. SFC2021 Programa no âmbito do FAMI, FSI e IGFV Número CCI 2021PT65AMPR001 Título em inglês Programme Portugal - AMIF Título na língua ou línguas nacionais PT - Programme Portugal - AMIF Versão 6.0 Primeiro ano 2021 Último ano 2027 Elegível a partir de 1 de jan. de 2021 Elegível até 31 de dez. de 2029 Número da decisão da Comissão C(2025)9084 Data da decisão da Comissão 16 de dez. de 2025 Número da decisão de alteração do Estado-Membro Data da entrada em vigor da decisão de alteração do EM Transferência não substan…","Open - deadline not resolved","https://www.fami2030.gov.pt/wp-content/uploads/sites/20/2025/12/sfc2021-PRG-2021PT65AMPR001-6.0-1.pdf",""
"MOC-0119","Public Consultations - FONDI.eu","fondi.eu","Funding / grant","","","","International","English","fondi.eu offers this funding / grant opportunity. The opportunity page is open, but the exact deadline still requires confirmation. FONDI.eu | Public Consultations - FONDI.eu toggle navigation Home Application EU Funds Information Systems Application and User Rights Standard Operating Procedures and Tutorials Frequently Asked Questions Programmes 2021-2027 Programming Period 2014-2022 Rural Development Programme Documentation Guidance for Beneficiaries Circulars 2021-2027 Manual of Procedures Guidance on Indicators Useful Templates Important Documents Committees Evaluations and Assessments Strategic Environmental Assessments Annual Implementat…","Open - deadline not resolved","https://fondi.eu/public-consultations/",""
"MOC-0120","The Artist at Risk Fellowship | IASH","iash.ed.ac.uk","Fellowship","","","","United Kingdom","English","iash.ed.ac.uk offers this fellowship opportunity connected to United Kingdom. The opportunity page is open, but the exact deadline still requires confirmation. The Artist at Risk Fellowship | IASH Skip to main content Toggle navigation MENU search Search form go About Director's Welcome History of the Institute Location Governance People Current fellows Future fellows Affiliates Alumni Staff Management Group Advisory Board Research Resources for fellows IASH libraries and archives Fellowship programmes For UoE researchers For early career researchers For mid-career / senior researchers For playwrights For artists at risk Frequently asked questions Engagement Contact Supp…","Open - deadline not resolved","https://www.iash.ed.ac.uk/artist-risk-fellowship",""
"MOC-0137","CAPES-Humboldt Research Fellowship","Alexander von Humboldt Foundation / CAPES","Research fellowship","30 November 2026","2026-11-30","133","Germany; applicants residing in Brazil","English","Research fellowship for postdoctoral and experienced researchers residing in Brazil, supporting a 6-24 month research stay in Germany; applications close on the last working day of May or November.","Active","https://www.humboldt-foundation.de/en/apply/sponsorship-programmes/capes-humboldt-research-fellowship",""
"MOC-0142","Displaced Livelihoods Initiative Round V Call for Proposals: What’s New and What’s Continuing","Innovations for Poverty Action and Abdul Latif Jameel Poverty Action Lab, with IKEA Foundation support","call_for_proposals","2026-07-24","2026-07-24","1","Global","en","The official IPA page identifies Round V as a call for proposals, explicitly states that it has dedicated pathways for refugee-led organisations and researchers with lived displacement experience, and gives a full-proposal deadline of 24 July 2026.","private_only_preflight_ready","https://poverty-action.org/displaced-livelihoods-initiative-round-v-changes","Researchers, NGOs, implementing organisations, researchers with lived experience of displacement, and refugee-led organisations."
"MOC-0143","IX Convocatoria UAM Refugio - Curso 2026/2027","Universidad Autónoma de Madrid","fellowship_scholarship","2026-09-17T17:00:00+02:00","2026-09-17","56","Spain — Community of Madrid","Spanish","UAM's official call states the protection-status and enrolment requirements, identifies economic assistance of EUR 4,000–12,000 for September 2026 through August 2027, and gives a 17 September 2026 deadline.","private_only_preflight_ready","https://www.uam.es/uam/en/oficinasolidaria/convocatorias-uam/refugio-26-27","Current UAM undergraduate or postgraduate students needing international or humanitarian protection."
"MOC-0144","Concurso Internacional Fondo de Ayuda Maleta Abierta 2026: Proyectos Culturales «Arte Migrante en Iberoamérica»","IberRutas and Secretaría General Iberoamericana","grant_funding","2026-08-03T23:59:00-03:00","2026-08-04","12","Ibero-America","Spanish","The official SEGIB notice names the international competition, limits participation to eligible nonprofit entities, defines migrant cultural expression as the central subject, specifies USD 25,000 in total funding and sets the 3 August 2026 deadline.","private_only_preflight_ready","https://segib.org/es/convocatoria-maleta-abierta-2026-para-proyectos-de-arte-migrante-en-iberoamerica/","Nonprofit cultural and civil-society entities developing migrant-art projects in eligible Ibero-American countries."
